Staff_ID,Name,Role,Department_ID,Hire_Date,Salary,Location_ID
S0040,Kelly Martinez,Pharmacist,D004,2019-10-11,176168,L002
S0041,Rhonda Dunn,Admin,D003,2020-10-04,146430,L003
S0042,Kayla Good,Admin,D004,2018-06-21,175859,L004
S0043,Dana Lopez MD,Technician,D008,2016-08-23,41293,L001
S0044,Mike White,Technician,D001,2017-11-30,192010,L003
S0045,Lisa Perez,Pharmacist,D001,2016-10-28,138024,L005
S0046,William Snow,Admin,D006,2015-12-02,95226,L005
S0047,John Smith,Nurse,D006,2016-08-27,52284,L004
S0048,David Rodriguez,Pharmacist,D003,2017-05-22,127792,L004
S0049,Thomas Edwards,Nurse,D001,2018-06-24,34060,L005
S0050,Sarah Bautista,Pharmacist,D005,2017-08-24,174706,L002
S0051,Bobby Merritt,Technician,D008,2016-02-08,99301,L002
S0052,Brenda Smith,Doctor,D003,2024-09-03,32971,L001
S0053,Jasmine Mcdaniel,Admin,D002,2017-06-05,121888,L004
S0054,Randy Patel,Pharmacist,D003,2020-09-25,112945,L001
S0055,Christopher Miller,Doctor,D007,2016-06-19,142659,L005
S0056,Amanda Wilcox,Technician,D006,2019-08-16,52919,L001
S0057,Debra Vincent,Doctor,D004,2015-08-10,100749,L001
S0058,Steven Miranda,Doctor,D001,2023-01-04,110319,L004
S0059,Rachel Stanley,Admin,D008,2020-04-13,82605,L001
S0060,Jenny Sutton,Admin,D006,2020-10-24,163917,L003
S0061,Angel Rose,Technician,D005,2022-10-27,144490,L003
S0062,Michelle James,Admin,D003,2020-01-30,115482,L004
S0063,Tami Mendez,Doctor,D003,2020-03-30,56720,L004
S0064,Daniel Price,Doctor,D004,2019-05-26,170174,L002
S0065,James Ford,Pharmacist,D001,2022-12-23,145365,L001
S0066,Jacob Foster,Doctor,D001,2020-10-04,124879,L002
S0067,Melinda Smith,Doctor,D005,2019-09-14,42334,L002
S0068,Robin Brown,Nurse,D005,2017-09-12,128413,L005
S0069,Ashlee Watson,Admin,D007,2024-07-10,183966,L005
S0070,Patricia Ponce,Technician,D005,2020-11-23,135326,L005
S0071,Carrie Garcia,Nurse,D001,2024-06-27,113405,L004
S0072,George Martinez,Doctor,D008,2021-08-13,186459,L001
S0073,David Howard,Doctor,D003,2019-07-15,168219,L001
S0074,Keith Parker,Technician,D008,2018-12-04,73272,L001
S0075,Douglas Moore,Technician,D006,2016-12-08,140523,L005
S0076,Paula Gonzalez,Technician,D005,2024-08-19,195166,L001
S0077,Drew Jennings,Pharmacist,D001,2025-03-07,134453,L003
S0078,Courtney Hanson,Pharmacist,D005,2024-09-30,149045,L002
S0079,James Scott,Technician,D007,2024-10-20,127879,L001
S0080,Cathy Wilson,Admin,D007,2019-10-07,69902,L001
S0081,Jennifer Adams,Pharmacist,D007,2023-06-06,163665,L003
S0082,Manuel Collins,Doctor,D003,2022-11-09,170347,L004
S0083,Philip Ruiz,Technician,D002,2015-12-16,77532,L002
S0084,Caitlyn Parker,Pharmacist,D006,2023-02-18,98935,L002
S0085,Matthew Booth,Pharmacist,D004,2018-10-21,53862,L004
S0086,Christopher Wright,Nurse,D006,2024-01-09,41441,L004
S0087,Andrew Griffin,Technician,D002,2015-12-29,136202,L003
S0088,Haley Thompson,Admin,D003,2024-08-25,118774,L001
S0089,Tyler Carter,Nurse,D004,2022-06-27,125573,L001
S0090,Rebecca Oconnor,Technician,D007,2017-07-29,64033,L002
S0091,Patricia Johnson,Pharmacist,D005,2024-03-06,82549,L001
S0092,Susan Gardner,Technician,D008,2019-02-26,74652,L002
S0093,Anthony Wilson,Nurse,D003,2023-12-29,119051,L005
S0094,Melissa Gonzalez,Technician,D005,2022-11-27,44592,L005
S0095,Anthony Hines,Doctor,D002,2018-02-21,39480,L001
S0096,Aaron Duarte,Admin,D008,2020-11-09,144452,L003
S0097,Isaiah Blevins,Pharmacist,D001,2020-06-02,189664,L003
S0098,Joshua Cisneros,Doctor,D002,2024-08-10,169891,L002
S0099,Karen Morton,Admin,D007,2021-02-28,125602,L001
S0100,Mike Jacobs,Doctor,D005,2016-02-06,96783,L004
S0101,Michelle Garcia,Doctor,D001,2021-10-01,184887,L005
S0102,Donna Blake,Technician,D002,2022-03-19,34518,L002
S0103,Nicole Henderson,Nurse,D007,2016-06-04,181017,L001
S0104,Daniel Harris,Doctor,D003,2021-05-13,116315,L001
S0105,Deborah May,Technician,D002,2024-11-30,186616,L001
S0106,Joanne Brewer,Technician,D001,2017-03-04,71718,L004
S0107,Whitney Haynes,Pharmacist,D003,2024-10-18,194192,L003
S0108,Eric Ali,Pharmacist,D005,2023-01-08,76825,L001
S0109,Shelia Riley,Nurse,D004,2016-12-31,127774,L003
S0110,Charles Thompson,Pharmacist,D002,2018-06-26,118836,L003
S0111,Joel Lee,Pharmacist,D007,2016-07-28,34233,L001
S0112,Donna Rich,Nurse,D005,2020-05-02,98794,L004
S0113,Amy Roberts,Admin,D003,2017-01-02,108278,L002
S0114,Richard Cruz,Nurse,D008,2019-10-03,180875,L001
S0115,Heather Thompson,Nurse,D007,2024-03-28,190582,L005
S0116,Brent Berry,Nurse,D001,2020-03-25,97755,L002
S0117,Darryl Green,Nurse,D003,2018-04-15,131661,L002
S0118,Jeffrey Thomas,Admin,D001,2024-01-15,157289,L004
S0119,Jerry Torres,Doctor,D008,2023-05-04,98793,L003
S0120,Phillip Dorsey,Pharmacist,D007,2017-04-11,120809,L003
S0121,Marie Cain,Technician,D004,2022-02-26,104979,L005
S0122,Stephanie Marsh,Nurse,D005,2023-07-22,81067,L003
S0123,Theresa Wilson,Doctor,D003,2017-09-18,70832,L003
S0124,Leslie Bowman,Admin,D006,2015-12-16,147513,L001
S0125,Carmen Baker,Nurse,D002,2021-05-13,191706,L003
S0126,Denise Johnson,Pharmacist,D003,2016-02-19,112442,L002
S0127,Charles Meyer,Doctor,D001,2016-06-16,115949,L005
S0128,David Williams,Technician,D005,2018-01-27,153779,L004
S0129,Brandon Archer,Pharmacist,D002,2015-05-06,109038,L005
S0130,Cynthia Williams,Technician,D004,2024-10-29,42009,L002
S0131,Timothy Fernandez,Doctor,D005,2022-06-20,131825,L003
S0132,Samuel Smith,Doctor,D002,2020-10-01,116385,L005
S0133,Brian Boyd,Pharmacist,D008,2022-08-30,104882,L003
S0134,Brian Hernandez,Admin,D005,2024-09-16,125050,L001
S0135,Sara Case,Doctor,D001,2022-08-25,151038,L004
S0136,Adam Barber,Technician,D008,2023-06-23,142715,L003
S0137,Trevor Carter,Nurse,D008,2025-01-11,160890,L005
S0138,Jamie Stewart,Doctor,D002,2019-09-06,174916,L001
S0139,Julian Moore,Technician,D007,2018-12-19,174280,L003
S0140,Michael Turner,Nurse,D003,2023-12-26,130148,L002
S0141,Olivia Bradford,Technician,D002,2016-11-10,81118,L005
S0142,Charles Rollins,Nurse,D002,2020-06-30,198376,L001
S0143,Christy Riley,Nurse,D001,2024-08-23,57871,L005
S0144,Jody Tucker,Pharmacist,D005,2019-11-02,91525,L003
S0145,Shelby Johnson,Nurse,D004,2018-06-29,71911,L001
S0146,Douglas Lin,Nurse,D003,2018-04-03,113431,L005
S0147,Alan Galvan,Nurse,D004,2019-05-07,176663,L002
S0148,Crystal Nelson,Admin,D004,2025-03-13,37940,L003
S0149,Sarah Walters,Nurse,D005,2024-09-06,34164,L004
S0150,Rebecca Dodson,Doctor,D008,2018-09-22,53212,L005
S0151,Cynthia Wilcox,Pharmacist,D002,2015-07-21,70008,L003
S0152,Micheal Herrera,Technician,D001,2017-05-06,169185,L005
S0153,Ernest Davis,Doctor,D006,2022-11-14,181003,L003
S0154,Nicholas Mckinney,Technician,D007,2023-12-16,46148,L004
S0155,David Anderson,Technician,D007,2021-05-15,121741,L003
S0156,Rachel Henderson,Pharmacist,D006,2024-09-18,162033,L004
S0157,Tammy Bray,Doctor,D001,2016-12-26,92817,L004
S0158,Kevin Moreno,Doctor,D001,2017-05-11,181843,L002
S0159,James Scott,Doctor,D001,2015-06-27,143028,L004
S0160,Angelica Craig,Pharmacist,D003,2021-05-14,169666,L004
S0161,Michael Conner,Pharmacist,D007,2023-09-26,153346,L001
S0162,Ryan Jackson,Admin,D005,2022-11-23,175526,L003
S0163,Michael Schultz,Pharmacist,D006,2018-06-14,192429,L005
S0164,Joan Carroll,Doctor,D008,2017-03-01,64503,L005
S0165,Joshua Rios,Doctor,D002,2017-03-10,195446,L001
S0166,Monica Roberts,Admin,D001,2024-05-20,96966,L004
S0167,Frederick Sanders,Admin,D002,2017-11-21,59972,L003
S0168,Emily Smith,Doctor,D003,2017-03-10,106447,L003
S0169,Kyle Chapman,Admin,D006,2018-10-12,70645,L002
S0170,Jaime Gillespie,Pharmacist,D001,2015-11-10,91408,L003
S0171,Lisa Hess,Nurse,D006,2017-05-14,170331,L003
S0172,James Nichols,Technician,D002,2021-05-06,193778,L004
S0173,Nicole Mata,Pharmacist,D008,2017-08-25,161314,L004
S0174,James Wallace,Nurse,D002,2016-11-08,114855,L001
S0175,James Burke,Nurse,D007,2022-05-07,62765,L002
S0176,David Smith MD,Technician,D003,2022-04-17,136118,L004
S0177,David Osborne,Admin,D006,2015-10-30,73539,L002
S0178,Wendy Poole,Doctor,D001,2017-03-14,39473,L002
S0179,Kristin Luna,Admin,D007,2024-09-04,49181,L001
S0180,David Sanchez,Pharmacist,D005,2018-08-04,140181,L001
S0181,Justin Mcgrath,Admin,D002,2018-09-22,160283,L002
S0182,Christina Small,Technician,D003,2020-11-11,90521,L005
S0183,Christine Sherman,Nurse,D004,2020-06-17,181281,L005
S0184,Christopher Watkins,Nurse,D002,2020-03-27,74100,L002
S0185,Jacqueline Robinson,Technician,D001,2020-01-13,199082,L002
S0186,Casey Cruz,Doctor,D003,2020-09-03,71193,L003
S0187,Mary Gross,Pharmacist,D007,2024-12-22,127062,L002
S0188,Kelly Foster,Pharmacist,D004,2016-03-08,53736,L005
S0189,Gina Kidd,Admin,D007,2017-08-24,62563,L003
S0190,Sherry Lucas,Pharmacist,D002,2016-02-18,96487,L001
S0191,Steven Gates,Admin,D006,2017-07-04,164275,L003
S0192,Julie Mccarthy,Technician,D001,2022-06-07,125632,L002
S0193,Sean Knox,Pharmacist,D004,2015-09-20,193691,L004
S0194,Betty Anderson,Doctor,D006,2020-03-15,123796,L003
S0195,Susan Vang,Pharmacist,D001,2022-04-21,143161,L005
S0196,Michael Johnson,Technician,D008,2023-10-11,93257,L001
S0197,Francis Erickson,Pharmacist,D005,2019-05-28,161357,L005
S0198,Ronald Franklin,Technician,D003,2016-09-09,158982,L004
S0199,Marcus Patton,Technician,D003,2020-05-11,165369,L003
S0200,Joseph Sanders,Doctor,D006,2021-07-29,150185,L004
S0201,Christina Delacruz,Technician,D008,2024-09-15,109655,L002
S0202,Nicholas Graham,Technician,D006,2024-12-13,72126,L003
S0203,Phillip Boyd,Admin,D007,2015-11-22,61598,L004
S0204,April Jones,Nurse,D006,2023-04-15,40142,L003
S0205,Ronald Combs,Technician,D008,2023-01-18,82478,L002
S0206,Isaac Larson,Doctor,D008,2016-07-07,152478,L002
S0207,Kathy Smith,Admin,D008,2021-06-23,177785,L002
S0208,Jaime Clements,Pharmacist,D001,2020-09-17,155443,L005
S0209,Erin Moore,Pharmacist,D005,2023-03-19,106197,L005
S0210,Jordan Cooper,Technician,D004,2019-11-07,128010,L001
S0211,Darrell Vaughn,Technician,D007,2020-03-09,145901,L005
S0212,Alexander Leon,Pharmacist,D005,2024-01-28,178430,L003
S0213,Maxwell Vargas,Doctor,D004,2020-11-26,117867,L004
S0214,Brandon Wheeler,Admin,D002,2021-09-28,62770,L002
S0215,Tara Ruiz,Doctor,D004,2017-04-30,151934,L005
S0216,Joseph Adams,Doctor,D002,2017-05-16,49826,L005
S0217,Robert Hicks,Pharmacist,D005,2021-11-06,87018,L002
S0218,Betty Griffith,Pharmacist,D008,2015-08-14,158750,L001
S0219,Mr. Clarence Marks,Pharmacist,D008,2015-11-18,64881,L001
S0220,Jacob Alexander,Nurse,D002,2020-02-29,163245,L002
S0221,Madison Gonzales,Technician,D003,2019-10-10,42163,L001
S0222,Jack Ortiz,Doctor,D004,2016-02-25,120280,L001
S0223,Anthony Marks,Doctor,D001,2016-12-12,65954,L001
S0224,Loretta Silva,Pharmacist,D007,2015-05-10,99048,L004
S0225,Lawrence Lynch,Technician,D001,2018-06-18,142173,L001
S0226,Sharon Todd,Technician,D005,2024-07-06,134311,L005
S0227,William Salazar,Admin,D007,2019-08-22,73499,L001
S0228,Cesar Bell,Doctor,D001,2024-03-16,106709,L001
S0229,Michele Mcfarland,Pharmacist,D008,2023-07-21,143331,L002
S0230,Matthew Green,Technician,D008,2015-11-17,120866,L004
S0231,Alyssa Mullins,Admin,D007,2024-12-30,163844,L002
S0232,Robin Lee,Doctor,D008,2020-10-25,192810,L004
S0233,Daniel Morales,Pharmacist,D006,2016-05-31,72709,L001
S0234,Joshua Bradley,Admin,D008,2022-08-23,128108,L001
S0235,Michael Quinn,Doctor,D004,2020-07-10,36172,L001
S0236,John Howell,Technician,D006,2024-03-26,101702,L005
S0237,Jesse Smith,Doctor,D003,2018-04-21,190528,L001
S0238,Larry Gould,Pharmacist,D002,2024-05-13,147785,L003
S0239,Brianna Woodard,Admin,D002,2016-09-11,96829,L003
S0240,Marvin Romero,Pharmacist,D001,2019-02-23,166610,L003
S0241,Theresa Garcia,Technician,D001,2022-03-30,155068,L003
S0242,Cody Dodson,Doctor,D005,2020-08-11,118536,L003
S0243,Jennifer Hale,Pharmacist,D004,2023-06-22,121046,L001
S0244,Thomas Thomas,Admin,D006,2019-06-23,138792,L005
S0245,Angel Lloyd,Nurse,D004,2025-04-10,178388,L004
S0246,Christopher Martin,Nurse,D001,2019-11-01,111525,L001
S0247,Mark Goodwin,Doctor,D005,2018-12-14,78862,L003
S0248,Emily Jones,Technician,D001,2023-02-06,128167,L001
S0249,Daniel Blevins,Pharmacist,D002,2024-05-28,152327,L003
S0250,Stephanie Frank,Admin,D007,2015-08-31,46950,L004
S0251,Michael Yates,Pharmacist,D001,2020-05-23,49319,L005
S0252,Mr. Leonard Cox,Admin,D001,2021-01-28,60781,L005
S0253,Joann Young,Doctor,D006,2024-05-12,71162,L004
S0254,Heather Salas,Admin,D004,2022-01-27,189688,L002
S0255,Joseph Davis,Nurse,D008,2019-10-13,151054,L003
S0256,Carlos Dawson,Admin,D001,2016-09-07,96438,L005
S0257,Samantha Mckay,Admin,D004,2018-04-15,196494,L001
S0258,Melvin Fowler,Doctor,D007,2020-08-05,89162,L005
S0259,Jamie Spears,Doctor,D006,2018-08-31,124977,L004
S0260,Casey Charles,Nurse,D005,2018-03-24,165620,L003
S0261,Danielle Burns,Nurse,D006,2019-02-18,131928,L001
S0262,Alexandria Tapia,Nurse,D001,2016-05-04,145009,L005
S0263,Lauren Molina,Technician,D004,2020-07-22,100617,L005
S0264,Michael Miller,Nurse,D005,2018-09-01,124763,L001
S0265,Erin Tanner,Pharmacist,D001,2017-09-10,32851,L005
S0266,Ann Peterson,Technician,D006,2018-12-10,120754,L005
S0267,Melanie Martinez,Technician,D001,2019-03-04,105726,L001
S0268,Amy Perez,Nurse,D007,2015-11-25,99348,L005
S0269,Zoe Gonzalez,Pharmacist,D008,2022-01-01,118214,L005
S0270,Samuel Davis,Admin,D003,2018-12-15,48518,L004
S0271,Sandra Rivera,Technician,D006,2020-01-24,141698,L001
S0272,Larry Williamson,Pharmacist,D008,2023-11-14,51827,L005
S0273,Jeremy Montoya,Technician,D003,2024-05-31,63856,L004
S0274,Mark Craig,Admin,D003,2023-10-02,119463,L001
S0275,Michelle Avila,Nurse,D005,2023-08-04,158308,L005
S0276,Tina Callahan,Doctor,D008,2016-05-06,170052,L004
S0277,Russell Gonzalez,Doctor,D007,2017-02-13,97661,L003
S0278,Michael Johnson,Technician,D006,2023-10-26,135685,L005
S0279,Keith Guzman,Technician,D008,2020-09-02,101113,L005
S0280,Andrew Olson,Nurse,D004,2021-01-16,63016,L002
S0281,Jennifer Riley,Pharmacist,D007,2015-05-14,196692,L004
S0282,John Lee,Nurse,D008,2020-11-28,92297,L002
S0283,Misty Reed,Doctor,D006,2021-02-02,106840,L001
S0284,James Miles,Nurse,D005,2019-11-08,155629,L003
S0285,Bryan Johnson,Pharmacist,D005,2017-12-21,75135,L004
S0286,Natalie Spencer,Technician,D007,2017-07-01,100156,L003
S0287,Steven Nguyen,Nurse,D005,2016-02-15,113877,L004
S0288,Marisa Buck,Admin,D003,2020-05-19,47865,L002
S0289,Gregory Duran,Nurse,D005,2016-10-20,165000,L005
S0290,Glenn Johnson,Pharmacist,D006,2019-03-28,40730,L004
S0291,Ryan Collier,Technician,D006,2020-10-30,37462,L002
S0292,Scott Lee,Technician,D001,2021-12-28,178200,L002
S0293,Lisa Lane,Nurse,D006,2024-06-27,136513,L005
S0294,Dale Johnson,Admin,D003,2019-06-19,103770,L005
S0295,Robert Hernandez,Pharmacist,D002,2022-09-13,147089,L002
S0296,Jesse Anderson,Admin,D001,2017-04-25,31805,L005
S0297,Douglas Paul,Technician,D006,2022-08-16,90010,L003
S0298,Matthew Peterson,Pharmacist,D003,2023-10-29,80772,L004
S0299,Kyle Craig,Admin,D003,2022-04-24,78578,L003
S0300,Mary Kelly,Doctor,D003,2025-01-05,70304,L002
S0301,Andrea Garza,Nurse,D007,2025-04-06,155110,L004
S0302,Gerald Reynolds,Doctor,D005,2016-11-16,167533,L001
S0303,Jesse Ortiz,Doctor,D006,2016-08-17,150359,L001
S0304,Luke Davis,Nurse,D003,2021-08-30,138084,L001
S0305,Andrea Greene,Admin,D003,2015-11-05,126097,L002
S0306,Michael Morales,Admin,D005,2020-07-26,95058,L005
S0307,Ryan Pena,Pharmacist,D004,2019-06-06,80514,L002
S0308,William Skinner,Pharmacist,D003,2022-05-06,81652,L001
S0309,Larry Jones,Doctor,D006,2017-09-26,129288,L005
S0310,Sara Fisher,Nurse,D002,2017-03-24,117639,L002
S0311,Joseph Williams,Pharmacist,D005,2017-06-02,145612,L004
S0312,Samantha Rivera,Admin,D003,2024-11-29,60023,L005
S0313,Peter Ford,Pharmacist,D002,2021-10-16,45410,L001
S0314,Kristin Graves,Technician,D004,2017-08-13,184375,L004
S0315,Mary Armstrong,Nurse,D007,2019-08-24,119330,L001
S0316,Phillip Ortiz,Admin,D001,2024-01-28,69081,L002
S0317,Katie Shaw,Technician,D007,2025-04-21,39041,L005
S0318,Craig Foster,Nurse,D004,2018-12-02,148755,L003
S0319,Alexander Stone,Pharmacist,D004,2024-07-15,69471,L004
S0320,Joseph Vaughn,Nurse,D007,2020-08-12,68398,L005
S0321,Melissa Shah,Doctor,D008,2025-03-07,193969,L005
S0322,Kristen Montoya,Nurse,D004,2021-05-10,40579,L001
S0323,Jose Estrada,Pharmacist,D004,2019-11-24,121521,L004
S0324,Maria Jacobson,Admin,D001,2021-02-25,107601,L001
S0325,Alexandra Johnson,Technician,D008,2017-05-07,179474,L005
S0326,Kimberly Baldwin,Pharmacist,D002,2021-07-17,159458,L004
S0327,Steven Roberts,Admin,D005,2017-02-01,37241,L003
S0328,Robert Martinez,Technician,D004,2023-02-13,32281,L005
S0329,Tiffany Walters,Nurse,D004,2021-08-31,44806,L005
S0330,Elizabeth Decker,Nurse,D003,2016-05-01,194280,L004
S0331,Amanda Morgan,Pharmacist,D007,2018-05-10,41334,L002
S0332,Natalie Flores,Doctor,D001,2016-07-17,176747,L004
S0333,Sarah Reese,Technician,D001,2020-07-13,122950,L003
S0334,Michael Tucker,Pharmacist,D002,2022-05-13,107634,L004
S0335,Dr. Michelle Wells,Doctor,D003,2024-07-05,86461,L002
S0336,Michael Miller,Nurse,D002,2022-07-10,133013,L003
S0337,Alexandra Evans,Technician,D007,2024-02-26,63988,L001
S0338,John Meyer,Doctor,D002,2021-09-30,60845,L005
S0339,Jesse Doyle,Doctor,D001,2022-07-04,111032,L005
S0340,Mike Collins,Technician,D003,2024-09-05,66994,L004
S0341,Julie Johnson,Admin,D002,2020-04-20,197873,L001
S0342,Christian Gilmore,Admin,D004,2025-04-23,65020,L002
S0343,Richard Andrews,Pharmacist,D006,2016-03-18,126642,L001
S0344,Mark Smith,Admin,D006,2023-01-30,107731,L001
S0345,Mary Petersen,Admin,D007,2019-06-01,75615,L005
S0346,Joshua Duncan,Admin,D004,2019-08-29,90849,L004
S0347,Edgar Perez,Admin,D004,2017-06-13,188965,L002
S0348,John Ramos,Pharmacist,D001,2024-10-13,47290,L002
S0349,Kristi Butler,Admin,D006,2023-01-28,95673,L004
S0350,Stephanie Alexander,Pharmacist,D004,2016-10-26,144861,L003
S0351,Richard Mcdaniel,Doctor,D005,2018-07-02,52270,L005
S0352,Aaron Mejia,Admin,D005,2024-07-15,32264,L001
S0353,Gregory Leon Jr.,Pharmacist,D007,2017-12-10,148068,L002
S0354,Deborah Shelton,Doctor,D001,2017-05-07,148956,L005
S0355,James Moore,Nurse,D008,2017-03-16,73173,L004
S0356,Gerald Henderson,Admin,D003,2019-06-07,187909,L001
S0357,Cheryl Tran,Nurse,D001,2023-05-08,93471,L005
S0358,Sherri Gomez,Technician,D007,2017-04-23,42868,L001
S0359,Allen Vasquez,Doctor,D007,2017-11-18,164814,L005
S0360,Ethan Castro,Nurse,D001,2018-12-04,115713,L002
S0361,Shannon Robinson,Doctor,D006,2024-01-24,49342,L003
S0362,Krista Patton,Admin,D008,2019-07-13,109741,L003
S0363,Charles Rasmussen,Admin,D004,2021-07-13,112591,L005
S0364,Michael Carlson,Admin,D005,2018-10-04,88640,L003
S0365,Matthew Harris,Doctor,D001,2019-10-11,108546,L001
S0366,Gloria Reyes,Nurse,D005,2017-08-25,142070,L005
S0367,Shelley Walter,Nurse,D005,2023-10-14,135183,L004
S0368,Timothy Smith,Nurse,D004,2017-03-02,124740,L005
S0369,Corey Patel,Nurse,D001,2015-11-13,119588,L004
S0370,Sara Schultz,Doctor,D007,2019-11-25,134027,L005
S0371,Mr. Eric Coleman,Admin,D007,2020-07-14,84879,L001
S0372,Daniel Roberts,Pharmacist,D002,2016-04-25,121703,L004
S0373,Evelyn Wilson,Nurse,D008,2020-07-11,154029,L003
S0374,Joseph Walker,Nurse,D001,2021-01-05,127364,L001
S0375,Edward Phillips,Pharmacist,D005,2020-05-29,48838,L001
S0376,Joshua Bradley,Technician,D002,2020-08-08,113504,L002
S0377,Cynthia Morgan,Technician,D002,2022-08-08,126279,L001
S0378,Amy Pineda,Doctor,D002,2023-09-02,181948,L003
S0379,Melissa Johnson,Pharmacist,D006,2024-01-28,185625,L004
S0380,James Miller,Pharmacist,D001,2022-07-04,113056,L003
S0381,Evan Alexander,Admin,D002,2021-09-24,192506,L002
S0382,Scott Evans,Doctor,D002,2018-04-18,152814,L001
S0383,Daniel Todd,Doctor,D008,2024-05-28,41842,L003
S0384,Terry Huynh,Pharmacist,D005,2018-12-09,38818,L005
S0385,Joseph Vasquez,Nurse,D002,2025-04-15,52695,L003
S0386,Kenneth Noble,Technician,D001,2018-07-14,189791,L002
S0387,Geoffrey Becker,Nurse,D005,2017-04-10,163254,L003
S0388,Ebony Rivera,Admin,D008,2023-12-19,65767,L004
S0389,David Kline,Technician,D008,2024-10-26,62619,L002
S0390,Chad Gonzalez,Pharmacist,D007,2015-06-13,100131,L005
S0391,Leslie Ball,Pharmacist,D006,2017-12-07,77010,L002
S0392,Alexander Williams,Technician,D004,2016-04-13,47713,L002
S0393,Alexis Henderson,Doctor,D001,2022-12-11,182923,L004
S0394,Janice Robinson,Nurse,D002,2022-01-10,76328,L002
S0395,David Smith,Admin,D001,2022-10-01,169765,L003
S0396,Megan Fitzgerald,Admin,D004,2020-09-21,191356,L005
S0397,Patrick Mccormick,Nurse,D008,2023-12-30,96429,L004
S0398,Johnny Carr,Nurse,D002,2022-10-14,92967,L005
S0399,Vincent Flores,Doctor,D005,2019-10-07,141755,L001
S0400,Vincent Hughes,Pharmacist,D002,2024-10-26,108212,L001
S0401,Crystal Baldwin,Nurse,D007,2023-10-22,66632,L004
S0402,Brandy Miller,Technician,D008,2024-05-19,121773,L003
S0403,Joe Mendez,Pharmacist,D005,2019-11-21,35389,L002
S0404,Sue Miller,Nurse,D006,2020-12-27,68105,L001
S0405,Yvonne Guzman,Pharmacist,D004,2017-10-24,193522,L003
S0406,Lauren Smith,Pharmacist,D003,2024-09-15,143715,L004
S0407,Morgan Hansen,Admin,D003,2019-04-19,67521,L004
S0408,Michael Douglas,Pharmacist,D003,2022-07-12,77346,L001
S0409,Melissa Washington,Pharmacist,D003,2022-11-10,43158,L004
S0410,John Martin,Technician,D008,2017-11-12,176708,L005
S0411,Sonya Leon,Doctor,D008,2019-03-02,188325,L001
S0412,David Braun,Technician,D005,2016-03-16,56231,L001
S0413,Sharon Chen,Doctor,D003,2023-08-04,66481,L003
S0414,Cody Cummings,Doctor,D001,2024-03-11,100205,L002
S0415,Sarah Blair,Admin,D006,2021-08-19,169567,L005
S0416,Brittany Perez,Nurse,D007,2018-09-10,112127,L002
S0417,Rebecca Powell,Doctor,D008,2017-09-12,98175,L002
